dispatched_at,branch,commit,submitter,args,status
2026-05-29T01:25:41Z,main,ab088aa,src/speech_decoding/experiments/dispatch_v14.py,"--help",dispatched
2026-05-29T01:26:04Z,main,ab088aa,src/speech_decoding/experiments/dispatch_v14.py,"--help",dispatched
2026-05-29T01:30:26Z,main,29b9edf,src/speech_decoding/experiments/dispatch_v14.py,"--help",dispatched
2026-05-29T01:32:49Z,main,5a5f7a0,src/speech_decoding/experiments/dispatch_v14.py,"--help",dispatched
2026-05-29T01:34:40Z,main,5a5f7a0,src/speech_decoding/experiments/dispatch_v14.py,"--mode nano --fast-dev-run",dispatched
2026-05-29T04:37:42Z,main,e1cb8eb,scripts/neuroprobe/teacher_ceiling/submit_ceiling.py,"--help",dispatched
2026-05-29T04:42:04Z,main,e1cb8eb,scripts/neuroprobe/teacher_ceiling/submit_ceiling.py,"--out-dir reports/neuroprobe_whisper_ceiling_smoke_2026_05_28 --wav-dir /work/ht203/data/braintreebank_wavs --subject-trials sub_3:0 --smoke",dispatched
2026-05-29T04:49:35Z,main,6b7bbdd,scripts/neuroprobe/teacher_ceiling/submit_ceiling.py,"--out-dir reports/neuroprobe_whisper_ceiling_smoke_2026_05_28 --wav-dir /work/ht203/data/braintreebank_wavs --subject-trials sub_3:0 --smoke",dispatched
2026-05-29T05:55:29Z,main,4fe690e,scripts/neuroprobe/teacher_ceiling/submit_ceiling.py,"--out-dir reports/neuroprobe_whisper_ceiling_smoke_2026_05_28 --wav-dir /work/ht203/data/braintreebank_wavs --subject-trials sub_3:0 --smoke --dry-run",dispatched
2026-05-29T06:15:36Z,main,8435cc9,scripts/neuroprobe/teacher_ceiling/submit_ceiling.py,"--out-dir reports/neuroprobe_whisper_ceiling_smoke_2026_05_28 --wav-dir /work/ht203/data/braintreebank_wavs --subject-trials sub_3:0 --smoke",dispatched
2026-05-29T06:31:03Z,main,db966ac,scripts/neuroprobe/teacher_ceiling/submit_ceiling.py,"--out-dir reports/neuroprobe_whisper_ceiling_2026_05_28 --wav-dir /work/ht203/data/braintreebank_wavs",dispatched
2026-05-29T06:39:33Z,main,cda8dae,scripts/neuroprobe/teacher_ceiling/submit_ceiling.py,"--out-dir reports/neuroprobe_whisper_ceiling_2026_05_28 --wav-dir /work/ht203/data/braintreebank_wavs",dispatched
2026-05-29T06:40:47Z,main,73a0518,scripts/neuroprobe/teacher_ceiling/submit_ceiling.py,"--out-dir reports/neuroprobe_whisper_ceiling_2026_05_28 --wav-dir /work/ht203/data/braintreebank_wavs",dispatched
2026-05-29T07:03:19Z,main,6b67a36,src/speech_decoding/experiments/dispatch_v14.py,"--mode lite --phase 4",dispatched
2026-05-29T07:11:00Z,main,b39aec9,src/speech_decoding/experiments/dispatch_v14.py,"--mode lite --phase 4 --cluster slurm --slurm-partition scavenger-gpu --mem-gb 64 --gpus-per-node 1 --cpus-per-task 8 --timeout-min 720",dispatched
2026-05-29T08:49:48Z,main,be05e69,src/speech_decoding/experiments/dispatch_v14.py,"--mode lite --phase 4 --cluster slurm --slurm-partition coganlab-gpu --mem-gb 192 --gpus-per-node 1 --cpus-per-task 8 --timeout-min 720",dispatched
2026-05-29T08:51:25Z,main,7423de0,src/speech_decoding/experiments/dispatch_v14.py,"--mode lite --phase 4 --cluster slurm --slurm-partition coganlab-gpu --mem-gb 192 --gpus-per-node 1 --cpus-per-task 8 --timeout-min 720",dispatched
2026-05-29T09:11:03Z,main,7423de0,src/speech_decoding/experiments/dispatch_v14.py,"--mode lite --phase 4 --batch-size 16 --cluster slurm --slurm-partition coganlab-gpu --mem-gb 192 --gpus-per-node 1 --cpus-per-task 8 --timeout-min 720",dispatched
2026-05-29T09:30:41Z,main,7423de0,src/speech_decoding/experiments/dispatch_v14.py,"--mode lite --phase 4 --batch-size 32 --cluster slurm --slurm-partition scavenger-h200 --mem-gb 192 --gpus-per-node 1 --cpus-per-task 8 --timeout-min 720",dispatched
2026-05-29T09:33:51Z,main,819686e,src/speech_decoding/experiments/dispatch_v14.py,"--mode lite --phase 4 --batch-size 32 --cluster slurm --slurm-partition scavenger-h200 --slurm-account coganlab --mem-gb 192 --gpus-per-node 1 --cpus-per-task 8 --timeout-min 720",dispatched
2026-05-29T09:37:12Z,main,dde0438,src/speech_decoding/experiments/dispatch_v14.py,"--mode lite --phase 4 --batch-size 32 --cluster slurm --slurm-partition coganlab-gpu --slurm-account coganlab --mem-gb 192 --gpus-per-node 1 --cpus-per-task 8 --timeout-min 720",dispatched
2026-05-29T09:41:22Z,main,723a895,scripts/neuroprobe/teacher_ceiling/submit_ceiling.py,"--out-dir reports/neuroprobe_whisper_ceiling_2026_05_29 --wav-dir /work/ht203/data/braintreebank_wavs",dispatched
2026-05-29T09:55:59Z,main,723a895,src/speech_decoding/experiments/dispatch_v14.py,"--mode lite --phase 4 --batch-size 8 --cluster slurm --slurm-partition coganlab-gpu --slurm-account coganlab --mem-gb 192 --gpus-per-node 1 --cpus-per-task 8 --timeout-min 720",dispatched
2026-05-29T20:43:29Z,main,a4106cc,scripts/neuroprobe/teacher_ceiling/submit_ceiling.py,"--out-dir reports/neuroprobe_whisper_ceiling_face_num_2026_05_29 --wav-dir /work/ht203/data/braintreebank_wavs --probe-mem 96G --tasks face_num",dispatched
